Date,Facebook Users (M),Instagram Users (M),Twitter Users (M),LinkedIn Users (M),Email Users (M)
Jul-11,750,5,200,120,2500
Aug-11,769,6,205,123,2520
Sep-11,788,7,210,126,2540
Oct-11,807,8,215,129,2560
Nov-11,826,9,220,132,2580
Dec-11,845,10,225,135,2600
Jan-12,863,17,230,139,2617
Feb-12,882,23,235,143,2633
Mar-12,900,30,240,148,2650
Apr-12,918,37,245,152,2667
May-12,937,43,250,156,2683
Jun-12,955,50,255,160,2700
Jul-12,972,58,260,167,2717
Aug-12,990,67,265,173,2733
Sep-12,1008,75,270,180,2750
Oct-12,1025,83,275,187,2767
Nov-12,1042,92,280,193,2783
Dec-12,1060,100,285,200,2800
Jan-13,1076,105,290,207,2817
Feb-13,1092,110,295,213,2833
Mar-13,1108,115,300,220,2850
Apr-13,1123,120,305,227,2867
May-13,1139,125,310,233,2883
Jun-13,1155,130,315,240,2900
Jul-13,1168,138,321,247,2917
Aug-13,1180,147,327,253,2933
Sep-13,1192,155,332,260,2950
Oct-13,1205,163,338,267,2967
Nov-13,1218,172,344,273,2983
Dec-13,1230,180,350,280,3000
Jan-14,1243,192,357,287,3017
Feb-14,1257,203,363,293,3033
Mar-14,1270,215,370,300,3050
Apr-14,1283,227,377,307,3067
May-14,1297,238,383,313,3083
Jun-14,1310,250,390,320,3100
Jul-14,1323,258,397,325,3117
Aug-14,1337,267,403,330,3133
Sep-14,1350,275,410,335,3150
Oct-14,1363,283,417,340,3167
Nov-14,1377,292,423,345,3183
Dec-14,1390,300,430,350,3200
Jan-15,1407,313,437,355,3217
Feb-15,1423,327,443,360,3233
Mar-15,1440,340,450,365,3250
Apr-15,1457,353,457,370,3267
May-15,1473,367,463,375,3283
Jun-15,1490,380,470,380,3300
Jul-15,1507,392,477,385,3317
Aug-15,1523,403,483,390,3333
Sep-15,1540,415,490,395,3350
Oct-15,1557,427,497,400,3367
Nov-15,1573,438,503,405,3383
Dec-15,1590,450,510,410,3400
Jan-16,1610,458,517,417,3417
Feb-16,1630,467,523,423,3433
Mar-16,1650,475,530,430,3450
Apr-16,1670,483,537,437,3467
May-16,1690,492,543,443,3483
Jun-16,1710,500,550,450,3500
Jul-16,1735,517,557,453,3517
Aug-16,1760,533,563,457,3533
Sep-16,1785,550,570,460,3550
Oct-16,1810,567,577,463,3567
Nov-16,1835,583,583,467,3583
Dec-16,1860,600,590,470,3600
Jan-17,1885,617,597,475,3617
Feb-17,1910,633,603,480,3633
Mar-17,1935,650,610,485,3650
Apr-17,1960,667,617,490,3667
May-17,1985,683,623,495,3683
Jun-17,2010,700,630,500,3700
Jul-17,2030,717,637,505,3717
Aug-17,2050,733,643,510,3733
Sep-17,2070,750,650,515,3750
Oct-17,2090,767,657,520,3767
Nov-17,2110,783,663,525,3783
Dec-17,2130,800,670,530,3800
Jan-18,2147,833,677,535,3817
Feb-18,2163,867,683,540,3833
Mar-18,2180,900,690,545,3850
Apr-18,2197,933,697,550,3867
May-18,2213,967,703,555,3883
Jun-18,2230,1000,710,560,3900
Jul-18,2245,1000,717,565,3917
Aug-18,2260,1000,723,570,3933
Sep-18,2275,1000,730,575,3950
Oct-18,2290,1000,737,580,3967
Nov-18,2305,1000,743,585,3983
Dec-18,2320,1000,750,590,4000
Jan-19,2335,1018,757,593,4017
Feb-19,2350,1035,763,597,4033
Mar-19,2365,1052,770,600,4050
Apr-19,2380,1070,777,603,4067
May-19,2395,1088,783,607,4083
Jun-19,2410,1105,790,610,4100
Jul-19,2425,1122,797,615,4117
Aug-19,2440,1140,803,620,4133
Sep-19,2455,1158,810,625,4150
Oct-19,2470,1175,817,630,4167
Nov-19,2485,1192,823,635,4183
Dec-19,2500,1210,830,640,4200
Jan-20,2517,1229,837,645,4217
Feb-20,2533,1248,843,650,4233
Mar-20,2550,1266,850,655,4250
Apr-20,2567,1285,857,660,4267
May-20,2583,1304,863,665,4283
Jun-20,2600,1322,870,670,4300
Jul-20,2623,1341,877,678,4317
Aug-20,2647,1360,883,687,4333
Sep-20,2670,1379,890,695,4350
Oct-20,2693,1398,897,703,4367
Nov-20,2717,1416,903,712,4383
Dec-20,2740,1435,910,720,4400
Jan-21,2758,1456,917,727,4417
Feb-21,2777,1478,923,733,4433
Mar-21,2795,1499,930,740,4450
Apr-21,2813,1520,937,747,4467
May-21,2832,1541,943,753,4483
Jun-21,2850,1562,950,760,4500
Jul-21,2860,1584,957,767,4517
Aug-21,2870,1605,963,773,4533
Sep-21,2880,1626,970,780,4550
Oct-21,2890,1648,977,787,4567
Nov-21,2900,1669,983,793,4583
Dec-21,2910,1690,990,800,4600
Jan-22,2913,1712,997,805,4617
Feb-22,2917,1735,1003,810,4633
Mar-22,2920,1758,1010,815,4650
Apr-22,2923,1780,1017,820,4667
May-22,2927,1802,1023,825,4683
Jun-22,2930,1825,1030,830,4700
Jul-22,2935,1848,1037,833,4717
Aug-22,2940,1870,1043,837,4733
Sep-22,2945,1892,1050,840,4750
Oct-22,2950,1915,1057,843,4767
Nov-22,2955,1938,1063,847,4783
Dec-22,2960,1960,1070,850,4800
Jan-23,2965,1973,1075,853,4817
Feb-23,2970,1986,1080,857,4833
Mar-23,2975,1999,1085,860,4850
Apr-23,2980,2012,1090,863,4867
May-23,2985,2025,1095,867,4883
Jun-23,2990,2038,1100,870,4900
Jul-23,3003,2050,1014,880,4917
Aug-23,3017,2063,929,890,4933
Sep-23,3030,2076,843,900,4950
Oct-23,3043,2089,757,910,4967
Nov-23,3057,2102,672,920,4983
Dec-23,3070,2115,586,930,5000
Jan-24,3070,2139,590,932,5012
Feb-24,3070,2162,593,935,5025
Mar-24,3070,2186,596,938,5038
Apr-24,3070,2210,600,940,5050